Food Item,Serving Size,Calories,Total Fat,Total Carb,Sat Fat,Dietary Fiber,Trans Fat,Sugar,Cholesterol,Protein,Sodium,Dietary Restrictions
Buttermilk Pancakes,2 ea,162,1.6g,33.4g,0.1g,0.7g,0g,6.1g,0mg,3.4g,423.9mg,"Vegetarian, Soy, Egg, Milk, Halal"
Cage-Free Scrambled Eggs,3 oz,50,0.9g,1.4g,0.2g,0g,0g,1.4g,0mg,8.4g,160.3mg,"Vegetarian, Egg, Gluten Friendly, Halal"
Hard-boiled Cage Free Egg (1),1 ea,86,5.8g,0.4g,1.9g,0g,0g,0.2g,225mg,7.6g,85.9mg,"Vegetarian, Egg, Gluten Friendly, Halal"
Harissa Potatoes,3 oz,104,4.1g,15g,0.7g,1.3g,0g,1.8g,0mg,1.8g,21.9mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Natural Bridges Tofu Scramble,4 oz,154,10.1g,5.4g,1.5g,2.4g,0g,1.1g,0mg,14.1g,228.8mg,"Vegan, Soy, Gluten Friendly, Vegetarian, Halal"
Organic Gluten-Free Oatmeal,6 ozl,191,3.1g,33.6g,0.6g,0g,0g,0g,0mg,6.4g,230.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Turkey Sausage Patties,2 ea,150,10g,1g,3g,0g,0g,1g,49.9mg,12g,399.3mg,Gluten Friendly
Steamed Rice,4 oz,144,0g,33.2g,0g,0g,0g,0g,0mg,2.8g,21.2mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Apple Cinnamon Muffin,1 ea,283,14.3g,37.8g,1.7g,0.8g,0.1g,22.4g,0.4mg,1.9g,279.8mg,"Vegetarian, Soy, Egg, Milk, Alcohol, Halal"
Lemon Poppyseed Muffin,1 ea,288,15.2g,36.8g,1.8g,0.6g,0.1g,21.8g,0.4mg,2.1g,283.5mg,"Vegetarian, Soy, Egg, Milk, Alcohol, Halal"
Vegan Fruit and Peanut Granola,2 oz,269,13.9g,31.5g,2.8g,1.4g,0g,11.5g,0mg,6.6g,16.3mg,"Vegan, Peanuts, Tree Nut, Sesame, Gluten Friendly, Alcohol, Vegetarian, Halal"
Zucchini Bread,1 slice,501,26.4g,64.4g,3.1g,1.6g,0.1g,37.1g,0.7mg,3.7g,502.7mg,"Vegetarian, Soy, Egg, Milk, Alcohol, Halal"
Cinnamon Puffins Cereal,1 oz,95,0.9g,24.6g,0g,0g,0g,5.7g,0mg,1.9g,141.8mg,"Vegan, Vegetarian, Halal"
Cinnamon Toasters,1 oz,123,3.3g,22.7g,0.5g,0g,0g,9.5g,0mg,0.9g,132.3mg,"Vegan, Soy, Vegetarian, Halal"
Crunchy Maple Sunrise Cereal,1 ozl,21,0.2g,4.9g,0g,0.6g,0g,1.3g,0mg,0.3g,25.8mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Honey'd Corn Flakes,1 ozl,21,0.7g,4.8g,0g,0.1g,0g,0.7g,0mg,0.4g,18.8mg,"Vegetarian, Gluten Friendly, Halal"
Kellogg's Rice Krispies,1 oz,156,0g,31.9g,0g,0g,0g,9.9g,3.5mg,6.4g,198.5mg,"Vegetarian, Halal"
Leapin' Lemurs Organic Peanut Butter Chocolate Cereal,1 oz,126,1.6g,26.3g,0g,2.1g,0g,8.4g,0mg,2.1g,120.8mg,"Vegan, Soy, Peanuts, Gluten Friendly, Vegetarian, Halal"
Marshmallow Mateys,1 oz,113,0.9g,23.6g,0g,0g,0g,12.3g,0mg,1.9g,189mg,Pork
Organic Gluten-Free Corn Flakes,1 1/4 ozl,19,0g,4.3g,0g,0.1g,0g,0.4g,0mg,0.4g,14.4mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Organic Mesa Sunrise,1 ozl,21,0.3g,4.1g,0g,0g,0g,0.7g,0mg,0.5g,22.3mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Raisin Bran,1 oz,106,0.7g,21.6g,0g,0g,0g,9.6g,0mg,2.4g,163.4mg,"Vegetarian, Halal"
Sunrise Crunchy Cinnamon Cereal,1 ozl,21,0.2g,5g,0g,0.6g,0g,1.1g,0mg,0.4g,21.5mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Toasty Os,1 oz,101,2g,20.3g,0.5g,0g,0g,1g,0mg,3g,141.8mg,"Vegan, Soy, Vegetarian, Halal"
Tootie Frooties,1 oz,115,0.9g,24.8g,0g,0g,0g,13.3g,0mg,1.8g,132.9mg,"Vegan, Vegetarian, Halal"
Apples,2 oz,32,0.1g,7.8g,- g,0.5g,0g,5.9g,- mg,0.1g,0.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Applesauce,2 ozl,23,0g,5.6g,0g,0.9g,0g,5.1g,0mg,0g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
